date,value,quote
1971-01-04,5.1643,per_usd
1971-01-05,5.1628,per_usd
1971-01-06,5.1614,per_usd
1971-01-07,5.1649,per_usd
1971-01-08,5.1631,per_usd
1971-01-11,5.1642,per_usd
1971-01-12,5.1643,per_usd
1971-01-13,5.1615,per_usd
1971-01-14,5.1625,per_usd
1971-01-15,5.164,per_usd
1971-01-18,5.1651,per_usd
1971-01-19,5.1657,per_usd
1971-01-20,5.1636,per_usd
1971-01-21,5.1648,per_usd
1971-01-22,5.1626,per_usd
1971-01-25,5.1626,per_usd
1971-01-26,5.164,per_usd
1971-01-27,5.1635,per_usd
1971-01-28,5.1653,per_usd
1971-01-29,5.1675,per_usd
1971-02-01,5.1778,per_usd
1971-02-02,5.1778,per_usd
1971-02-03,5.1742,per_usd
1971-02-04,5.1733,per_usd
1971-02-05,5.1784,per_usd
1971-02-08,5.1813,per_usd
1971-02-09,5.1811,per_usd
1971-02-10,5.1799,per_usd
1971-02-11,5.1778,per_usd
1971-02-16,5.1752,per_usd
1971-02-17,5.1706,per_usd
1971-02-18,5.17,per_usd
1971-02-19,5.1692,per_usd
1971-02-22,5.1664,per_usd
1971-02-23,5.161,per_usd
1971-02-24,5.1631,per_usd
1971-02-25,5.1652,per_usd
1971-02-26,5.1652,per_usd
1971-03-01,5.1631,per_usd
1971-03-02,5.1638,per_usd
1971-03-03,5.1622,per_usd
1971-03-04,5.1631,per_usd
1971-03-05,5.1631,per_usd
1971-03-08,5.1635,per_usd
1971-03-09,5.1644,per_usd
1971-03-10,5.1625,per_usd
1971-03-11,5.1636,per_usd
1971-03-12,5.1626,per_usd
1971-03-15,5.1626,per_usd
1971-03-16,5.1623,per_usd
1971-03-17,5.1613,per_usd
1971-03-18,5.1625,per_usd
1971-03-19,5.1621,per_usd
1971-03-22,5.1617,per_usd
1971-03-23,5.162,per_usd
1971-03-24,5.1613,per_usd
1971-03-25,5.1626,per_usd
1971-03-26,5.1637,per_usd
1971-03-29,5.1648,per_usd
1971-03-30,5.1631,per_usd
1971-03-31,5.1624,per_usd
1971-04-01,5.1645,per_usd
1971-04-02,5.1644,per_usd
1971-04-05,5.1646,per_usd
1971-04-06,5.1628,per_usd
1971-04-07,5.1637,per_usd
1971-04-08,5.1653,per_usd
1971-04-09,5.165,per_usd
1971-04-12,5.1646,per_usd
1971-04-13,5.1653,per_usd
1971-04-14,5.1644,per_usd
1971-04-15,5.1633,per_usd
1971-04-16,5.1615,per_usd
1971-04-19,5.1619,per_usd
1971-04-20,5.1623,per_usd
1971-04-21,5.1611,per_usd
1971-04-22,5.162,per_usd
1971-04-23,5.1612,per_usd
1971-04-26,5.1624,per_usd
1971-04-27,5.1615,per_usd
1971-04-28,5.1615,per_usd
1971-04-29,5.1616,per_usd
1971-04-30,5.1614,per_usd
1971-05-03,5.162,per_usd
1971-05-04,5.1613,per_usd
1971-05-05,5.1673,per_usd
1971-05-06,5.1724,per_usd
1971-05-07,5.1726,per_usd
1971-05-10,5.1683,per_usd
1971-05-11,5.1731,per_usd
1971-05-12,5.1714,per_usd
1971-05-13,5.1655,per_usd
1971-05-14,5.1664,per_usd
1971-05-17,5.1634,per_usd
1971-05-18,5.1622,per_usd
1971-05-19,5.1645,per_usd
1971-05-20,5.1649,per_usd
1971-05-21,5.1645,per_usd
1971-05-24,5.163,per_usd
1971-05-25,5.1644,per_usd
1971-05-26,5.1632,per_usd
1971-05-27,5.1653,per_usd
1971-05-28,5.1648,per_usd
1971-06-01,5.1661,per_usd
1971-06-02,5.1675,per_usd
1971-06-03,5.165,per_usd
1971-06-04,5.1645,per_usd
1971-06-07,5.1639,per_usd
1971-06-08,5.164,per_usd
1971-06-09,5.1626,per_usd
1971-06-10,5.1632,per_usd
1971-06-11,5.162,per_usd
1971-06-14,5.1628,per_usd
1971-06-15,5.1651,per_usd
1971-06-16,5.1643,per_usd
1971-06-17,5.1626,per_usd
1971-06-18,5.1625,per_usd
1971-06-21,5.1621,per_usd
1971-06-22,5.1614,per_usd
1971-06-23,5.1586,per_usd
1971-06-24,5.1593,per_usd
1971-06-25,5.1585,per_usd
1971-06-28,5.1613,per_usd
1971-06-29,5.1591,per_usd
1971-06-30,5.1588,per_usd
1971-07-01,5.16,per_usd
1971-07-02,5.1616,per_usd
1971-07-06,5.1638,per_usd
1971-07-07,5.1634,per_usd
1971-07-08,5.1652,per_usd
1971-07-09,5.1661,per_usd
1971-07-12,5.168,per_usd
1971-07-13,5.1682,per_usd
1971-07-14,5.1643,per_usd
1971-07-15,5.1605,per_usd
1971-07-16,5.1621,per_usd
1971-07-19,5.1634,per_usd
1971-07-20,5.1614,per_usd
1971-07-21,5.1594,per_usd
1971-07-22,5.16,per_usd
1971-07-23,5.1597,per_usd
1971-07-26,5.1609,per_usd
1971-07-27,5.1607,per_usd
1971-07-28,5.1596,per_usd
1971-07-29,5.1599,per_usd
1971-07-30,5.1591,per_usd
1971-08-02,5.16,per_usd
1971-08-03,5.1615,per_usd
1971-08-04,5.1593,per_usd
1971-08-05,5.1596,per_usd
1971-08-06,5.1597,per_usd
1971-08-09,5.1598,per_usd
1971-08-10,5.1624,per_usd
1971-08-11,5.1614,per_usd
1971-08-12,5.163,per_usd
1971-08-13,5.1593,per_usd
1971-08-23,5.1053,per_usd
1971-08-24,5.0889,per_usd
1971-08-25,5.0855,per_usd
1971-08-26,5.0787,per_usd
1971-08-27,5.0671,per_usd
1971-08-30,5.0633,per_usd
1971-08-31,5.0793,per_usd
1971-09-01,5.0933,per_usd
1971-09-02,5.0879,per_usd
1971-09-03,5.0807,per_usd
1971-09-07,5.0839,per_usd
1971-09-08,5.0913,per_usd
1971-09-09,5.0913,per_usd
1971-09-10,5.0897,per_usd
1971-09-13,5.0845,per_usd
1971-09-14,5.0798,per_usd
1971-09-15,5.0747,per_usd
1971-09-16,5.0736,per_usd
1971-09-17,5.0715,per_usd
1971-09-20,5.0656,per_usd
1971-09-21,5.0581,per_usd
1971-09-22,5.0599,per_usd
1971-09-23,5.058,per_usd
1971-09-24,5.0314,per_usd
1971-09-27,5.047,per_usd
1971-09-28,5.0452,per_usd
1971-09-29,5.0355,per_usd
1971-09-30,5.0273,per_usd
1971-10-01,5.0176,per_usd
1971-10-04,5.0163,per_usd
1971-10-05,5.0201,per_usd
1971-10-06,5.013,per_usd
1971-10-07,5.0177,per_usd
1971-10-08,5.0176,per_usd
1971-10-12,5.0221,per_usd
1971-10-13,5.0272,per_usd
1971-10-14,5.0314,per_usd
1971-10-15,5.0302,per_usd
1971-10-18,5.0286,per_usd
1971-10-19,5.0256,per_usd
1971-10-20,5.0263,per_usd
1971-10-21,5.0262,per_usd
1971-10-22,5.0217,per_usd
1971-10-26,5.0164,per_usd
1971-10-27,5.0173,per_usd
1971-10-28,5.0176,per_usd
1971-10-29,5.0196,per_usd
1971-11-01,5.0247,per_usd
1971-11-03,5.0226,per_usd
1971-11-04,5.0245,per_usd
1971-11-05,5.0196,per_usd
1971-11-08,5.022,per_usd
1971-11-09,5.0207,per_usd
1971-11-10,5.0207,per_usd
1971-11-11,5.0203,per_usd
1971-11-12,5.0136,per_usd
1971-11-15,5.0136,per_usd
1971-11-16,5.0094,per_usd
1971-11-17,5.0074,per_usd
1971-11-18,5.0088,per_usd
1971-11-19,5.0044,per_usd
1971-11-22,5.001,per_usd
1971-11-23,4.9897,per_usd
1971-11-24,4.9775,per_usd
1971-11-26,4.9565,per_usd
1971-11-29,4.9427,per_usd
1971-11-30,4.957,per_usd
1971-12-01,4.9346,per_usd
1971-12-02,4.926,per_usd
1971-12-03,4.9257,per_usd
1971-12-06,4.9128,per_usd
1971-12-07,4.8888,per_usd
1971-12-08,4.89,per_usd
1971-12-09,4.8959,per_usd
1971-12-10,4.8972,per_usd
1971-12-13,4.8969,per_usd
1971-12-14,4.8968,per_usd
1971-12-15,4.8924,per_usd
1971-12-16,4.8909,per_usd
1971-12-17,4.8924,per_usd
1971-12-21,4.8715,per_usd
1971-12-22,4.8729,per_usd
1971-12-23,4.8796,per_usd
1971-12-24,4.8742,per_usd
1971-12-27,4.889,per_usd
1971-12-28,4.8896,per_usd
1971-12-29,4.9019,per_usd
1971-12-30,4.8838,per_usd
1971-12-31,4.8631,per_usd
1972-01-03,4.8544,per_usd
1972-01-04,4.855,per_usd
1972-01-05,4.852,per_usd
1972-01-06,4.8514,per_usd
1972-01-07,4.8479,per_usd
1972-01-10,4.8298,per_usd
1972-01-11,4.8353,per_usd
1972-01-12,4.8309,per_usd
1972-01-13,4.8286,per_usd
1972-01-14,4.8216,per_usd
1972-01-17,4.8135,per_usd
1972-01-18,4.8144,per_usd
1972-01-19,4.8077,per_usd
1972-01-20,4.8077,per_usd
1972-01-21,4.8077,per_usd
1972-01-24,4.806,per_usd
1972-01-25,4.8065,per_usd
1972-01-26,4.8077,per_usd
1972-01-27,4.8088,per_usd
1972-01-28,4.8077,per_usd
1972-01-31,4.8054,per_usd
1972-02-01,4.8077,per_usd
1972-02-02,4.7985,per_usd
1972-02-03,4.7973,per_usd
1972-02-04,4.8054,per_usd
1972-02-07,4.8019,per_usd
1972-02-08,4.7973,per_usd
1972-02-09,4.7962,per_usd
1972-02-10,4.7939,per_usd
1972-02-11,4.7962,per_usd
1972-02-14,4.8031,per_usd
1972-02-15,4.8031,per_usd
1972-02-16,4.7985,per_usd
1972-02-17,4.7778,per_usd
1972-02-18,4.7755,per_usd
1972-02-22,4.7847,per_usd
1972-02-23,4.7847,per_usd
1972-02-24,4.7881,per_usd
1972-02-25,4.7927,per_usd
1972-02-28,4.7927,per_usd
1972-02-29,4.7927,per_usd
1972-03-01,4.787,per_usd
1972-03-02,4.7847,per_usd
1972-03-03,4.7801,per_usd
1972-03-06,4.7755,per_usd
1972-03-07,4.7653,per_usd
1972-03-08,4.7596,per_usd
1972-03-09,4.7326,per_usd
1972-03-10,4.7506,per_usd
1972-03-13,4.7438,per_usd
1972-03-14,4.7574,per_usd
1972-03-15,4.7687,per_usd
1972-03-16,4.7664,per_usd
1972-03-17,4.779,per_usd
1972-03-20,4.7893,per_usd
1972-03-21,4.7733,per_usd
1972-03-22,4.7687,per_usd
1972-03-23,4.787,per_usd
1972-03-24,4.7927,per_usd
1972-03-27,4.7881,per_usd
1972-03-28,4.7778,per_usd
1972-03-29,4.7687,per_usd
1972-03-30,4.779,per_usd
1972-03-31,4.7801,per_usd
1972-04-03,4.7801,per_usd
1972-04-04,4.7778,per_usd
1972-04-05,4.7824,per_usd
1972-04-06,4.7824,per_usd
1972-04-07,4.7847,per_usd
1972-04-10,4.7841,per_usd
1972-04-11,4.7801,per_usd
1972-04-12,4.7793,per_usd
1972-04-13,4.7824,per_usd
1972-04-14,4.7835,per_usd
1972-04-17,4.7847,per_usd
1972-04-18,4.791,per_usd
1972-04-19,4.7939,per_usd
1972-04-20,4.7847,per_usd
1972-04-21,4.787,per_usd
1972-04-24,4.787,per_usd
1972-04-25,4.7813,per_usd
1972-04-26,4.7824,per_usd
1972-04-27,4.7778,per_usd
1972-04-28,4.7755,per_usd
1972-05-01,4.7744,per_usd
1972-05-02,4.7733,per_usd
1972-05-03,4.7721,per_usd
1972-05-04,4.7676,per_usd
1972-05-05,4.7676,per_usd
1972-05-08,4.7664,per_usd
1972-05-09,4.7596,per_usd
1972-05-10,4.7506,per_usd
1972-05-11,4.7529,per_usd
1972-05-12,4.754,per_usd
1972-05-15,4.754,per_usd
1972-05-16,4.7574,per_usd
1972-05-17,4.7529,per_usd
1972-05-18,4.7506,per_usd
1972-05-19,4.7506,per_usd
1972-05-22,4.7483,per_usd
1972-05-23,4.7483,per_usd
1972-05-24,4.7377,per_usd
1972-05-25,4.7472,per_usd
1972-05-26,4.7461,per_usd
1972-05-30,4.736,per_usd
1972-05-31,4.7337,per_usd
1972-06-01,4.736,per_usd
1972-06-02,4.736,per_usd
1972-06-05,4.7427,per_usd
1972-06-06,4.7461,per_usd
1972-06-07,4.7427,per_usd
1972-06-08,4.7393,per_usd
1972-06-09,4.7388,per_usd
1972-06-12,4.7393,per_usd
1972-06-13,4.7405,per_usd
1972-06-14,4.7393,per_usd
1972-06-15,4.7293,per_usd
1972-06-16,4.7326,per_usd
1972-06-19,4.7304,per_usd
1972-06-20,4.7371,per_usd
1972-06-21,4.7438,per_usd
1972-06-22,4.7664,per_usd
1972-06-23,4.7619,per_usd
1972-06-26,4.7619,per_usd
1972-06-27,4.7483,per_usd
1972-06-28,4.7281,per_usd
1972-06-29,4.7148,per_usd
1972-06-30,4.7059,per_usd
1972-07-03,4.7103,per_usd
1972-07-05,4.7483,per_usd
1972-07-06,4.7393,per_usd
1972-07-07,4.7427,per_usd
1972-07-10,4.7371,per_usd
1972-07-11,4.7382,per_usd
1972-07-12,4.7371,per_usd
1972-07-13,4.7309,per_usd
1972-07-14,4.7226,per_usd
1972-07-17,4.7259,per_usd
1972-07-18,4.7281,per_usd
1972-07-19,4.7259,per_usd
1972-07-20,4.7237,per_usd
1972-07-21,4.7248,per_usd
1972-07-24,4.7326,per_usd
1972-07-25,4.7382,per_usd
1972-07-26,4.7382,per_usd
1972-07-27,4.7304,per_usd
1972-07-28,4.7304,per_usd
1972-07-31,4.7281,per_usd
1972-08-01,4.7248,per_usd
1972-08-02,4.7259,per_usd
1972-08-03,4.727,per_usd
1972-08-04,4.7259,per_usd
1972-08-07,4.7259,per_usd
1972-08-08,4.7237,per_usd
1972-08-09,4.7248,per_usd
1972-08-10,4.7259,per_usd
1972-08-11,4.7248,per_usd
1972-08-14,4.7237,per_usd
1972-08-15,4.7237,per_usd
1972-08-16,4.727,per_usd
1972-08-17,4.7293,per_usd
1972-08-18,4.7276,per_usd
1972-08-21,4.7298,per_usd
1972-08-22,4.7253,per_usd
1972-08-23,4.7242,per_usd
1972-08-24,4.7259,per_usd
1972-08-25,4.727,per_usd
1972-08-28,4.727,per_usd
1972-08-29,4.727,per_usd
1972-08-30,4.7231,per_usd
1972-08-31,4.7248,per_usd
1972-09-01,4.727,per_usd
1972-09-05,4.7293,per_usd
1972-09-06,4.727,per_usd
1972-09-07,4.7293,per_usd
1972-09-08,4.7281,per_usd
1972-09-11,4.7304,per_usd
1972-09-12,4.7293,per_usd
1972-09-13,4.7287,per_usd
1972-09-14,4.7259,per_usd
1972-09-15,4.7253,per_usd
1972-09-18,4.7248,per_usd
1972-09-19,4.7259,per_usd
1972-09-20,4.7259,per_usd
1972-09-21,4.7265,per_usd
1972-09-22,4.727,per_usd
1972-09-25,4.727,per_usd
1972-09-26,4.7281,per_usd
1972-09-27,4.7298,per_usd
1972-09-28,4.7427,per_usd
1972-09-29,4.745,per_usd
1972-10-02,4.7405,per_usd
1972-10-03,4.7393,per_usd
1972-10-04,4.7354,per_usd
1972-10-05,4.7326,per_usd
1972-10-06,4.7371,per_usd
1972-10-10,4.7405,per_usd
1972-10-11,4.7405,per_usd
1972-10-12,4.7427,per_usd
1972-10-13,4.7438,per_usd
1972-10-16,4.7551,per_usd
1972-10-17,4.7529,per_usd
1972-10-18,4.7483,per_usd
1972-10-19,4.7416,per_usd
1972-10-20,4.7438,per_usd
1972-10-24,4.7506,per_usd
1972-10-25,4.7483,per_usd
1972-10-26,4.7472,per_usd
1972-10-27,4.7483,per_usd
1972-10-30,4.7472,per_usd
1972-10-31,4.7483,per_usd
1972-11-01,4.7495,per_usd
1972-11-02,4.7495,per_usd
1972-11-03,4.7483,per_usd
1972-11-06,4.7483,per_usd
1972-11-08,4.7478,per_usd
1972-11-09,4.7483,per_usd
1972-11-10,4.7461,per_usd
1972-11-13,4.7444,per_usd
1972-11-14,4.7438,per_usd
1972-11-15,4.7427,per_usd
1972-11-16,4.7438,per_usd
1972-11-17,4.7427,per_usd
1972-11-20,4.7433,per_usd
1972-11-21,4.7427,per_usd
1972-11-22,4.7438,per_usd
1972-11-24,4.7427,per_usd
1972-11-27,4.7438,per_usd
1972-11-28,4.7438,per_usd
1972-11-29,4.7416,per_usd
1972-11-30,4.7393,per_usd
1972-12-01,4.7438,per_usd
1972-12-04,4.7461,per_usd
1972-12-05,4.7461,per_usd
1972-12-06,4.7438,per_usd
1972-12-07,4.7461,per_usd
1972-12-08,4.7455,per_usd
1972-12-11,4.7419,per_usd
1972-12-12,4.745,per_usd
1972-12-13,4.745,per_usd
1972-12-14,4.745,per_usd
1972-12-15,4.745,per_usd
1972-12-18,4.7438,per_usd
1972-12-19,4.7438,per_usd
1972-12-20,4.7427,per_usd
1972-12-21,4.7416,per_usd
1972-12-22,4.7416,per_usd
1972-12-26,4.7416,per_usd
1972-12-27,4.741,per_usd
1972-12-28,4.7427,per_usd
1972-12-29,4.7438,per_usd
1973-01-02,4.7438,per_usd
1973-01-03,4.7438,per_usd
1973-01-04,4.7438,per_usd
1973-01-05,4.7433,per_usd
1973-01-08,4.7478,per_usd
1973-01-09,4.7486,per_usd
1973-01-10,4.7461,per_usd
1973-01-11,4.7466,per_usd
1973-01-12,4.7461,per_usd
1973-01-15,4.7478,per_usd
1973-01-16,4.7495,per_usd
1973-01-17,4.7472,per_usd
1973-01-18,4.7472,per_usd
1973-01-19,4.7483,per_usd
1973-01-22,4.7461,per_usd
1973-01-23,4.7438,per_usd
1973-01-24,4.7438,per_usd
1973-01-25,4.7388,per_usd
1973-01-26,4.7393,per_usd
1973-01-29,4.7281,per_usd
1973-01-30,4.7081,per_usd
1973-01-31,4.707,per_usd
1973-02-01,4.6992,per_usd
1973-02-02,4.7059,per_usd
1973-02-05,4.7081,per_usd
1973-02-06,4.7059,per_usd
1973-02-07,4.7037,per_usd
1973-02-08,4.7053,per_usd
1973-02-09,4.7037,per_usd
1973-02-13,4.5455,per_usd
1973-02-14,4.5045,per_usd
1973-02-15,4.5147,per_usd
1973-02-16,4.2772,per_usd
1973-02-20,4.5106,per_usd
1973-02-21,4.5045,per_usd
1973-02-22,4.5055,per_usd
1973-02-23,4.4583,per_usd
1973-02-26,4.4583,per_usd
1973-02-27,4.4583,per_usd
1973-02-28,4.4543,per_usd
1973-03-01,4.4385,per_usd
1973-03-02,4.2735,per_usd
1973-03-05,4.3668,per_usd
1973-03-06,4.386,per_usd
1973-03-07,4.3573,per_usd
1973-03-08,4.3103,per_usd
1973-03-09,4.3384,per_usd
1973-03-12,4.3898,per_usd
1973-03-13,4.4248,per_usd
1973-03-14,4.4563,per_usd
1973-03-15,4.4209,per_usd
1973-03-16,4.4346,per_usd
1973-03-19,4.4743,per_usd
1973-03-20,4.4783,per_usd
1973-03-21,4.4843,per_usd
1973-03-22,4.4803,per_usd
1973-03-23,4.4863,per_usd
1973-03-26,4.4823,per_usd
1973-03-27,4.4823,per_usd
1973-03-28,4.4924,per_usd
1973-03-29,4.4939,per_usd
1973-03-30,4.4944,per_usd
1973-04-02,4.5203,per_usd
1973-04-03,4.5285,per_usd
1973-04-04,4.4863,per_usd
1973-04-05,4.4863,per_usd
1973-04-06,4.4984,per_usd
1973-04-09,4.5045,per_usd
1973-04-10,4.5188,per_usd
1973-04-11,4.5086,per_usd
1973-04-12,4.5045,per_usd
1973-04-13,4.5045,per_usd
1973-04-16,4.5167,per_usd
1973-04-17,4.5106,per_usd
1973-04-18,4.5055,per_usd
1973-04-19,4.5167,per_usd
1973-04-20,4.5147,per_usd
1973-04-23,4.5147,per_usd
1973-04-24,4.5239,per_usd
1973-04-25,4.5249,per_usd
1973-04-26,4.5208,per_usd
1973-04-27,4.5269,per_usd
1973-04-30,4.5249,per_usd
1973-05-01,4.5208,per_usd
1973-05-02,4.5208,per_usd
1973-05-03,4.5249,per_usd
1973-05-04,4.5249,per_usd
1973-05-07,4.5249,per_usd
1973-05-08,4.5249,per_usd
1973-05-09,4.5126,per_usd
1973-05-10,4.5137,per_usd
1973-05-11,4.5137,per_usd
1973-05-14,4.4623,per_usd
1973-05-15,4.3898,per_usd
1973-05-16,4.417,per_usd
1973-05-17,4.4189,per_usd
1973-05-18,4.4033,per_usd
1973-05-21,4.3535,per_usd
1973-05-22,4.3516,per_usd
1973-05-23,4.3649,per_usd
1973-05-24,4.3668,per_usd
1973-05-25,4.3821,per_usd
1973-05-29,4.344,per_usd
1973-05-30,4.3085,per_usd
1973-05-31,4.2772,per_usd
1973-06-01,4.2753,per_usd
1973-06-04,4.1929,per_usd
1973-06-05,4.1964,per_usd
1973-06-06,4.2808,per_usd
1973-06-07,4.2827,per_usd
1973-06-08,4.2589,per_usd
1973-06-11,4.2535,per_usd
1973-06-12,4.2499,per_usd
1973-06-13,4.2735,per_usd
1973-06-14,4.2517,per_usd
1973-06-15,4.2283,per_usd
1973-06-18,4.2017,per_usd
1973-06-19,4.2283,per_usd
1973-06-20,4.2159,per_usd
1973-06-21,4.2141,per_usd
1973-06-22,4.1946,per_usd
1973-06-25,4.1964,per_usd
1973-06-26,4.1858,per_usd
1973-06-27,4.1408,per_usd
1973-06-28,4.075,per_usd
1973-06-29,4.0568,per_usd
1973-07-02,4.0209,per_usd
1973-07-03,4.0241,per_usd
1973-07-05,4.0161,per_usd
1973-07-06,3.9683,per_usd
1973-07-09,3.9761,per_usd
1973-07-10,4.0816,per_usd
1973-07-11,4.1408,per_usd
1973-07-12,4.1152,per_usd
1973-07-13,4.1254,per_usd
1973-07-16,4.0816,per_usd
1973-07-17,4.0486,per_usd
1973-07-18,4.0161,per_usd
1973-07-19,4.0683,per_usd
1973-07-20,4.0453,per_usd
1973-07-23,4.0306,per_usd
1973-07-24,4.0323,per_usd
1973-07-25,4.0225,per_usd
1973-07-26,4,per_usd
1973-07-27,4.0128,per_usd
1973-07-30,4.0453,per_usd
1973-07-31,4.0486,per_usd
1973-08-01,4.029,per_usd
1973-08-02,4.0519,per_usd
1973-08-03,4.0486,per_usd
1973-08-06,4.0634,per_usd
1973-08-07,4.0733,per_usd
1973-08-08,4.07,per_usd
1973-08-09,4.122,per_usd
1973-08-10,4.1459,per_usd
1973-08-13,4.1288,per_usd
1973-08-14,4.1946,per_usd
1973-08-15,4.2052,per_usd
1973-08-16,4.2301,per_usd
1973-08-17,4.2017,per_usd
1973-08-20,4.1408,per_usd
1973-08-21,4.1824,per_usd
1973-08-22,4.1982,per_usd
1973-08-23,4.2194,per_usd
1973-08-24,4.1982,per_usd
1973-08-27,4.2194,per_usd
1973-08-28,4.223,per_usd
1973-08-29,4.1999,per_usd
1973-08-30,4.2176,per_usd
1973-08-31,4.2176,per_usd
1973-09-04,4.2248,per_usd
1973-09-05,4.2017,per_usd
1973-09-06,4.207,per_usd
1973-09-07,4.2159,per_usd
1973-09-10,4.2105,per_usd
1973-09-11,4.2212,per_usd
1973-09-12,4.2194,per_usd
1973-09-13,4.2355,per_usd
1973-09-14,4.2301,per_usd
1973-09-17,4.1982,per_usd
1973-09-18,4.1911,per_usd
1973-09-19,4.207,per_usd
1973-09-20,4.1754,per_usd
1973-09-21,4.2034,per_usd
1973-09-24,4.1999,per_usd
1973-09-25,4.1929,per_usd
1973-09-26,4.1964,per_usd
1973-09-27,4.2017,per_usd
1973-09-28,4.2052,per_usd
1973-10-01,4.2052,per_usd
1973-10-02,4.207,per_usd
1973-10-03,4.2105,per_usd
1973-10-04,4.2123,per_usd
1973-10-05,4.2176,per_usd
1973-10-09,4.1999,per_usd
1973-10-10,4.1911,per_usd
1973-10-11,4.1667,per_usd
1973-10-12,4.1667,per_usd
1973-10-15,4.1841,per_usd
1973-10-16,4.1701,per_usd
1973-10-17,4.1511,per_usd
1973-10-18,4.1528,per_usd
1973-10-19,4.158,per_usd
1973-10-23,4.1102,per_usd
1973-10-24,4.1254,per_usd
1973-10-25,4.1356,per_usd
1973-10-26,4.1789,per_usd
1973-10-29,4.1964,per_usd
1973-10-30,4.1964,per_usd
1973-10-31,4.1789,per_usd
1973-11-01,4.1911,per_usd
1973-11-02,4.1824,per_usd
1973-11-05,4.2123,per_usd
1973-11-07,4.2717,per_usd
1973-11-08,4.2992,per_usd
1973-11-09,4.329,per_usd
1973-11-12,4.3975,per_usd
1973-11-13,4.3783,per_usd
1973-11-14,4.3011,per_usd
1973-11-15,4.3365,per_usd
1973-11-16,4.329,per_usd
1973-11-19,4.3478,per_usd
1973-11-20,4.3554,per_usd
1973-11-21,4.386,per_usd
1973-11-23,4.4683,per_usd
1973-11-26,4.4444,per_usd
1973-11-27,4.4111,per_usd
1973-11-28,4.4267,per_usd
1973-11-29,4.4248,per_usd
1973-11-30,4.4248,per_usd
1973-12-03,4.4623,per_usd
1973-12-04,4.5167,per_usd
1973-12-05,4.4924,per_usd
1973-12-06,4.4863,per_usd
1973-12-07,4.5045,per_usd
1973-12-10,4.5249,per_usd
1973-12-11,4.5208,per_usd
1973-12-12,4.5228,per_usd
1973-12-13,4.5228,per_usd
1973-12-14,4.5393,per_usd
1973-12-17,4.5704,per_usd
1973-12-18,4.5725,per_usd
1973-12-19,4.5851,per_usd
1973-12-20,4.5725,per_usd
1973-12-21,4.5537,per_usd
1973-12-24,4.5496,per_usd
1973-12-26,4.5767,per_usd
1973-12-27,4.5746,per_usd
1973-12-28,4.5767,per_usd
1973-12-31,4.5809,per_usd
1974-01-02,4.6816,per_usd
1974-01-03,4.7059,per_usd
1974-01-04,4.7037,per_usd
1974-01-07,4.8403,per_usd
1974-01-08,4.845,per_usd
1974-01-09,4.7962,per_usd
1974-01-10,4.7801,per_usd
1974-01-11,4.9769,per_usd
1974-01-14,4.8309,per_usd
1974-01-15,4.8614,per_usd
1974-01-16,4.8031,per_usd
1974-01-17,4.8193,per_usd
1974-01-18,4.8216,per_usd
1974-01-21,4.8733,per_usd
1974-01-22,4.8497,per_usd
1974-01-23,4.8709,per_usd
1974-01-24,4.8309,per_usd
1974-01-25,4.8473,per_usd
1974-01-28,4.8008,per_usd
1974-01-29,4.8123,per_usd
1974-01-30,4.7962,per_usd
1974-01-31,4.7393,per_usd
1974-02-01,4.7506,per_usd
1974-02-04,4.7037,per_usd
1974-02-05,4.7281,per_usd
1974-02-06,4.7461,per_usd
1974-02-07,4.7506,per_usd
1974-02-08,4.7281,per_usd
1974-02-11,4.7281,per_usd
1974-02-13,4.6729,per_usd
1974-02-14,4.6555,per_usd
1974-02-15,4.662,per_usd
1974-02-19,4.6555,per_usd
1974-02-20,4.6425,per_usd
1974-02-21,4.6339,per_usd
1974-02-22,4.5998,per_usd
1974-02-25,4.6577,per_usd
1974-02-26,4.6275,per_usd
1974-02-27,4.6512,per_usd
1974-02-28,4.6339,per_usd
1974-03-01,4.6577,per_usd
1974-03-04,4.6533,per_usd
1974-03-05,4.6232,per_usd
1974-03-06,4.6296,per_usd
1974-03-07,4.6425,per_usd
1974-03-08,4.6382,per_usd
1974-03-11,4.6232,per_usd
1974-03-12,4.6211,per_usd
1974-03-13,4.6147,per_usd
1974-03-14,4.6382,per_usd
1974-03-15,4.6253,per_usd
1974-03-18,4.6168,per_usd
1974-03-19,4.6019,per_usd
1974-03-20,4.5517,per_usd
1974-03-21,4.4743,per_usd
1974-03-22,4.4944,per_usd
1974-03-25,4.4287,per_usd
1974-03-26,4.4385,per_usd
1974-03-27,4.4683,per_usd
1974-03-28,4.3937,per_usd
1974-03-29,4.4248,per_usd
1974-04-01,4.4346,per_usd
1974-04-02,4.4053,per_usd
1974-04-03,4.4326,per_usd
1974-04-04,4.4484,per_usd
1974-04-05,4.4464,per_usd
1974-04-08,4.4346,per_usd
1974-04-09,4.4743,per_usd
1974-04-10,4.4603,per_usd
1974-04-11,4.4444,per_usd
1974-04-12,4.4444,per_usd
1974-04-15,4.4405,per_usd
1974-04-16,4.4425,per_usd
1974-04-17,4.4209,per_usd
1974-04-18,4.4072,per_usd
1974-04-19,4.4072,per_usd
1974-04-22,4.3956,per_usd
1974-04-23,4.3346,per_usd
1974-04-24,4.3328,per_usd
1974-04-25,4.344,per_usd
1974-04-26,4.3141,per_usd
